id_progress,assignmentId,userId_progress,courseId_progress,progress,score,timeInvested,completionStatus,certificateUrl,quizScore,assignmentScore,participationCount,timeSpentOnQuizzes,updatedAt,id_assignment,userId_assignment,courseId_assignment,learningPathId,assignedAt,id,title,duration,difficultyLevel,createdAt,updatedAt_course,progress_percent,total_score
14,14,2,3326,39.45252072007728,73.6281402378469,25,IN_PROGRESS,None,54.0,73.0,6,2,2024-06-24 14:17:31,14,2,3326,-1,2022-11-20 17:14:07,3326,AngularJS Authentication: Secure Your App with Auth0,60,EASY,2024-10-04 09:09:00.000,2033-11-05 09:09:00.000,3945.252072007728,127.0
15,15,2,2043,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-02-22 16:35:23,15,2,2043,-1,2023-08-19 16:27:39,2043,"How to play 'Electric Guitar,https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons",300,EASY,2024-10-04 09:09:00.000,2030-05-02 09:09:00.000,0.0,0.0
16,16,2,3131,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-28 00:42:33,16,2,3131,-1,2024-04-14 15:37:40,3131,Django + AngularJS for a Powerful Web Application,330,MEDIUM,2024-10-04 09:09:00.000,2033-04-24 09:09:00.000,0.0,0.0
17,17,2,1148,69.08131591400644,65.98558353766602,2,IN_PROGRESS,None,14.0,26.0,10,7,2024-04-23 22:48:54,17,2,1148,-1,2023-04-03 13:53:46,1148,Financial Accounting Part I - Passing the Class,270,EASY,2024-10-04 09:09:00.000,2027-11-19 09:09:00.000,6908.131591400644,40.0
18,18,2,2945,59.87864088122454,66.40329076901821,3,IN_PROGRESS,None,94.0,86.0,9,2,2024-04-13 22:01:35,18,2,2945,-1,2022-06-15 20:03:38,2945,HTML Web Development Crash Course,90,EASY,2024-10-04 09:09:00.000,2032-10-20 09:09:00.000,5987.864088122454,180.0
19,19,2,2720,100.0,73.9838602749526,11,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,49.0,85.0,1,8,2024-05-08 08:33:48,19,2,2720,-1,2022-08-23 13:39:32,2720,Build a complete Fiverr clone with Node + Algolia + Paypal,540,EASY,2024-10-04 09:09:00.000,2032-03-09 09:09:00.000,10000.0,134.0
20,20,4,1168,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-04 16:14:57,20,4,1168,-1,2024-04-20 06:44:16,1168,Easy Market Profits: 3 Step Stock Investing Strategy,180,EASY,2024-10-04 09:10:00.000,2027-12-09 09:09:00.000,0.0,0.0
21,21,4,1742,100.0,72.5922134251471,22,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,29.0,30.0,4,10,2024-01-24 02:27:14,21,4,1742,-1,2021-03-13 08:20:07,1742,Crie seu Cartão de Visita no CorelDRAW X8,240,EASY,2024-10-04 09:09:00.000,2029-07-05 09:09:00.000,10000.0,59.0
22,22,4,3619,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-07-13 18:05:30,22,4,3619,-1,2020-09-09 17:52:28,3619,Simple And Easy: Wordpress For Beginners,180,EASY,2024-10-04 09:09:00.000,2034-08-25 09:09:00.000,0.0,0.0
23,23,4,2749,17.401514893653026,79.62064837233459,13,IN_PROGRESS,None,85.0,34.0,2,4,2024-02-16 22:46:01,23,4,2749,-1,2022-03-18 03:13:35,2749,Wordpress for Beginners - Build a Live Website from Scratch,90,EASY,2024-10-04 09:09:00.000,2032-04-07 09:09:00.000,1740.1514893653025,119.0
24,24,4,2037,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-05 18:26:07,24,4,2037,-1,2020-06-16 14:19:31,2037,Instant Harmonica - Learning the Basic 12 Bar Blues Bassline,60,EASY,2024-10-04 09:09:00.000,2030-04-26 09:09:00.000,0.0,0.0
25,25,4,2368,100.0,95.51788781090109,25,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,76.0,42.0,6,7,2024-08-28 15:44:08,25,4,2368,-1,2021-09-02 01:10:47,2368,Flute Lessons For Beginners,150,EASY,2024-10-04 09:10:00.000,2031-03-23 09:09:00.000,10000.0,118.0
26,26,4,1559,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-09 23:34:49,26,4,1559,-1,2022-07-28 11:47:06,1559,Adobe photoshop The  Flying Land compositing,150,EASY,2024-10-04 09:09:00.000,2029-01-03 09:09:00.000,0.0,0.0
27,27,4,2059,82.39699353566657,97.77526265307732,4,IN_PROGRESS,None,75.0,60.0,1,5,2024-02-20 20:43:42,27,4,2059,-1,2024-02-24 08:38:20,2059,Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,240,HARD,2024-10-04 09:09:00.000,2030-05-18 09:09:00.000,8239.699353566657,135.0
28,28,4,1582,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-06 14:42:00,28,4,1582,-1,2021-09-08 23:04:42,1582,Freelancing A-Z: How To Start A Successful Freelance Career,300,EASY,2024-10-04 09:10:00.000,2029-01-26 09:09:00.000,0.0,0.0
29,29,4,1506,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-28 09:39:33,29,4,1506,-1,2021-07-17 14:09:32,1506,Lettering,90,EASY,2024-10-04 09:09:00.000,2028-11-11 09:09:00.000,0.0,0.0
30,30,4,3193,77.66241844719411,98.05179372579542,21,IN_PROGRESS,None,32.0,28.0,1,2,2024-09-20 10:40:34,30,4,3193,-1,2024-01-29 17:54:32,3193,HTML5 and CSS3 : Landing Pages for Entrepreneurs 2016,240,EASY,2024-10-04 09:09:00.000,2033-06-25 09:09:00.000,7766.241844719411,60.0
31,31,4,145,96.20363084789784,64.78799452429263,9,IN_PROGRESS,None,96.0,38.0,4,10,2024-07-20 17:37:02,31,4,145,-1,2020-11-30 05:08:10,145,How to Pick The Right Penny Stocks To Invest In 2017,150,EASY,2024-10-04 09:09:00.000,2025-02-19 09:09:00.000,9620.363084789784,134.0
32,32,4,3051,13.875640637510877,74.39616110172408,28,IN_PROGRESS,None,37.0,57.0,7,4,2024-07-04 11:52:32,32,4,3051,-1,2024-06-09 09:03:49,3051,PHP Laravel 5:Creating a CRUD application,33,EASY,2024-10-04 09:09:00.000,2033-02-03 09:09:00.000,1387.5640637510876,94.0
33,33,4,2692,100.0,56.71420868077561,30,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,42.0,63.0,4,8,2024-07-24 19:23:52,33,4,2692,-1,2021-10-01 03:34:40,2692,Intro to Git,60,EASY,2024-10-04 09:10:00.000,2032-02-10 09:09:00.000,10000.0,105.0
34,34,4,912,6.674569567804589,71.13412506344665,30,IN_PROGRESS,None,69.0,78.0,1,2,2024-05-09 20:03:07,34,4,912,-1,2022-06-20 04:19:27,912,Credit Repair from a Financial Institution,150,EASY,2024-10-04 09:09:00.000,2027-03-28 09:09:00.000,667.4569567804589,147.0
35,35,4,3080,40.95552459464508,52.82755668344959,30,IN_PROGRESS,None,67.0,16.0,3,1,2024-01-23 19:55:43,35,4,3080,-1,2020-06-25 00:44:57,3080,Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,210,EASY,2024-10-04 09:09:00.000,2033-03-04 09:09:00.000,4095.5524594645076,83.0
36,36,4,499,100.0,64.55132280936552,2,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,64.0,72.0,4,10,2024-07-30 08:47:10,36,4,499,-1,2023-10-07 06:47:32,499,Bitcoin or How I Learned to Stop Worrying and Love Crypto,480,EASY,2024-10-04 09:09:00.000,2026-02-08 09:09:00.000,10000.0,136.0
37,37,4,1140,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-22 08:26:55,37,4,1140,-1,2023-09-26 09:12:12,1140,How to Trade Commodity and Financial Futures for a Living!,150,EASY,2024-10-04 09:09:00.000,2027-11-11 09:09:00.000,0.0,0.0
38,38,4,628,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-13 05:58:31,38,4,628,-1,2020-09-07 04:20:09,628,How I Make Money Writing About Stocks Online,150,EASY,2024-10-04 09:10:00.000,2026-06-17 09:09:00.000,0.0,0.0
39,39,4,1706,56.56566205707348,67.83848028065418,25,IN_PROGRESS,None,99.0,51.0,3,3,2024-09-15 21:43:33,39,4,1706,-1,2022-09-14 21:58:08,1706,Photoshop JumpStart,120,EASY,2024-10-04 09:09:00.000,2029-05-30 09:09:00.000,5656.566205707348,150.0
40,40,5,2923,100.0,51.24764188313421,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,53.0,73.0,9,6,2024-06-01 15:21:40,40,5,2923,-1,2023-02-12 13:44:26,2923,HTML CSS JavaScript: Most popular ways to code HTML CSS JS,210,EASY,2024-10-04 09:09:00.000,2032-09-28 09:09:00.000,10000.0,126.0
41,41,5,813,100.0,51.73163701830863,2,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,65.0,65.0,3,7,2024-07-16 15:30:54,41,5,813,-1,2023-03-10 23:11:35,813,Financial Modeling for Professionals in 1 Day!,270,MEDIUM,2024-10-04 09:09:00.000,2026-12-19 09:09:00.000,10000.0,130.0
42,42,5,2980,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-09-17 07:18:07,42,5,2980,-1,2023-04-29 17:20:51,2980,How to Build Your Own Website with WordPress: A Step-by-Step Guide ,360,EASY,2024-10-04 09:10:00.000,2032-11-24 09:09:00.000,0.0,0.0
43,43,5,2184,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-02-20 05:57:23,43,5,2184,-1,2021-04-30 12:32:46,2184,Tenor Banjo for Absolute Beginners,37,EASY,2024-10-04 09:09:00.000,2030-09-20 09:09:00.000,0.0,0.0
44,44,5,3447,100.0,55.125995441000505,19,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,56.0,55.0,7,1,2024-05-04 20:25:11,44,5,3447,-1,2021-03-16 14:18:07,3447,XML DOM - Crash Course for Beginners,34,EASY,2024-10-04 09:09:00.000,2034-03-06 09:09:00.000,10000.0,111.0
45,45,5,296,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-04 00:13:49,45,5,296,-1,2024-05-14 15:31:46,296,Business Accounting Made Easy,330,EASY,2024-10-04 09:09:00.000,2025-07-20 09:09:00.000,0.0,0.0
46,46,5,936,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-14 03:30:57,46,5,936,-1,2021-11-28 16:39:30,936,"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",180,EASY,2024-10-04 09:09:00.000,2027-04-21 09:09:00.000,0.0,0.0
47,47,5,441,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-31 02:35:51,47,5,441,-1,2023-07-03 02:15:19,441,Surpassing Your Kickstarter Goals,60,EASY,2024-10-04 09:09:00.000,2025-12-12 09:09:00.000,0.0,0.0
48,48,5,3415,100.0,85.00469846055009,8,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,26.0,39.0,5,2,2024-06-08 21:25:46,48,5,3415,-1,2023-05-18 04:33:36,3415,Building Websites JavaScript and the DOM,180,EASY,2024-10-04 09:09:00.000,2034-02-02 09:09:00.000,10000.0,65.0
49,49,5,1738,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-08 06:41:45,49,5,1738,-1,2021-02-15 13:27:03,1738,Creare un logo con Adobe Illustrator,60,EASY,2024-10-04 09:10:00.000,2029-07-01 09:09:00.000,0.0,0.0
50,50,5,348,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-07-19 23:47:44,50,5,348,-1,2024-06-05 16:43:17,348,Cost Accounting Marginal Costing Theory and Practice,150,EASY,2024-10-04 09:09:00.000,2025-09-10 09:09:00.000,0.0,0.0
51,51,5,3374,74.7224243866119,69.38294129242655,25,IN_PROGRESS,None,16.0,58.0,10,2,2024-03-05 21:05:11,51,5,3374,-1,2023-05-14 09:51:04,3374,Set up a localhost Web Server for Faster Website Development,90,EASY,2024-10-04 09:09:00.000,2033-12-23 09:09:00.000,7472.24243866119,74.0
52,52,5,3122,100.0,85.59336083199904,5,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,77.0,87.0,4,9,2024-07-29 00:49:06,52,5,3122,-1,2023-10-30 08:46:49,3122,The Build a SAAS App with Flask Course,600,EASY,2024-10-04 09:09:00.000,2033-04-15 09:09:00.000,10000.0,164.0
53,53,5,374,14.507041867964707,82.66224339870995,25,IN_PROGRESS,None,7.0,1.0,2,7,2024-05-16 04:45:04,53,5,374,-1,2024-05-21 17:54:15,374,build a solid foundation for trading options,60,EASY,2024-10-04 09:09:00.000,2025-10-06 09:09:00.000,1450.7041867964708,8.0
54,54,6,1083,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-05-09 21:19:01,54,6,1083,-1,2020-05-11 13:02:06,1083,Forex - Help I cant Trade,120,EASY,2024-10-04 09:09:00.000,2027-09-15 09:09:00.000,0.0,0.0
55,55,6,933,66.68820407988831,94.20341180738772,25,IN_PROGRESS,None,46.0,96.0,4,2,2024-04-24 15:29:22,55,6,933,-1,2021-06-02 12:58:19,933,2. Principles of Simple Interest - advanced problems,90,MEDIUM,2024-10-04 09:09:00.000,2027-04-18 09:09:00.000,6668.820407988831,142.0
56,56,6,1904,100.0,90.56755591575433,10,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,22.0,43.0,8,9,2024-03-08 15:08:50,56,6,1904,-1,2024-05-04 22:52:55,1904,101 Awesome Rockabilly Guitar Licks,150,MEDIUM,2024-10-04 09:09:00.000,2029-12-14 09:09:00.000,10000.0,65.0
57,57,6,1192,36.62165523676831,61.0747822375101,2,IN_PROGRESS,None,53.0,56.0,6,1,2024-04-10 09:50:50,57,6,1192,-1,2022-11-19 23:23:59,1192,Step by step guide to understand how business perform,38,MEDIUM,2024-10-04 09:10:00.000,2028-01-02 09:09:00.000,3662.165523676831,109.0
58,58,6,2767,75.31257504251792,50.91473537346503,8,IN_PROGRESS,None,54.0,18.0,2,8,2024-08-14 15:50:27,58,6,2767,-1,2021-12-31 13:30:24,2767,HTML5 Specialist: Comprehensive HTML5 Training,300,EASY,2024-10-04 09:09:00.000,2032-04-25 09:09:00.000,7531.257504251792,72.0
59,59,6,139,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-18 15:30:45,59,6,139,-1,2022-12-28 23:03:57,139,Accounting: Get Hired Without Work Experience,60,EASY,2024-10-04 09:09:00.000,2025-02-13 09:09:00.000,0.0,0.0
60,60,6,2047,62.01758462161949,55.72719797646485,3,IN_PROGRESS,None,55.0,91.0,10,5,2024-08-25 05:36:19,60,6,2047,-1,2023-10-14 23:56:33,2047,Learn to play your favorite guitar songs by ear,90,EASY,2024-10-04 09:09:00.000,2030-05-06 09:09:00.000,6201.758462161949,146.0
61,61,6,2319,23.817182796288797,74.02136581796873,21,IN_PROGRESS,None,40.0,24.0,6,10,2024-01-16 02:21:17,61,6,2319,-1,2020-12-26 20:41:15,2319,Ultimate Beginner Guitar Guide - Both Acoustic & Electric ,120,EASY,2024-10-04 09:09:00.000,2031-02-02 09:09:00.000,2381.71827962888,64.0
62,62,6,3290,42.86687833485894,52.52031070409198,27,IN_PROGRESS,None,54.0,34.0,7,8,2024-04-27 06:22:20,62,6,3290,-1,2020-06-15 07:53:30,3290,JavaScript Complete Guide to learning JavaScript,330,EASY,2024-10-04 09:09:00.000,2033-09-30 09:09:00.000,4286.687833485894,88.0
63,63,6,3304,41.02493068022205,64.50204285672896,30,IN_PROGRESS,None,76.0,79.0,4,9,2024-02-19 15:52:37,63,6,3304,-1,2024-06-15 03:25:53,3304,Learn how to create a WordPress theme using Pinegrow,120,MEDIUM,2024-10-04 09:10:00.000,2033-10-14 09:09:00.000,4102.493068022205,155.0
64,64,6,993,35.139856210645185,65.88748470704843,22,IN_PROGRESS,None,75.0,97.0,10,3,2024-09-14 05:28:24,64,6,993,-1,2021-09-28 20:24:35,993,Financial Accounting Part 2 - Passing The Class,270,EASY,2024-10-04 09:09:00.000,2027-06-17 09:09:00.000,3513.9856210645185,172.0
65,65,6,316,36.77527230371881,58.27691421852381,21,IN_PROGRESS,None,26.0,3.0,9,7,2024-01-13 07:11:59,65,6,316,-1,2022-10-12 14:42:45,316,BITCOIN VISUALLY. Part I.,240,EASY,2024-10-04 09:10:00.000,2025-08-09 09:09:00.000,3677.5272303718807,29.0
66,66,6,2315,97.54510913603698,81.08108834451087,7,IN_PROGRESS,None,14.0,49.0,4,8,2024-07-11 11:07:44,66,6,2315,-1,2021-11-08 17:27:49,2315,Instant harmonica - enjoy playing Silent Night tonight!,38,EASY,2024-10-04 09:09:00.000,2031-01-29 09:09:00.000,9754.510913603699,63.0
67,67,6,974,69.08640243187834,98.13536038035562,18,IN_PROGRESS,None,26.0,20.0,2,10,2024-08-23 21:11:51,67,6,974,-1,2021-12-14 01:58:01,974,The Smart Option Trader,780,EASY,2024-10-04 09:09:00.000,2027-05-29 09:09:00.000,6908.640243187834,46.0
68,68,6,994,0.7006909574094999,66.22197618630642,25,IN_PROGRESS,None,10.0,9.0,9,5,2024-07-29 14:11:21,68,6,994,-1,2022-01-18 03:53:30,994,Simple Options Trading System,90,MEDIUM,2024-10-04 09:10:00.000,2027-06-18 09:09:00.000,70.06909574094999,19.0
69,69,7,2840,100.0,98.02937657782574,11,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,57.0,78.0,1,1,2024-02-19 20:46:34,69,7,2840,-1,2021-11-28 14:15:01,2840,Twitter Integration customize Tweets with developer API,60,EASY,2024-10-04 09:09:00.000,2032-07-07 09:09:00.000,10000.0,135.0
70,70,7,2832,100.0,99.3528416972328,3,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,34.0,60.0,8,10,2024-05-26 06:16:58,70,7,2832,-1,2023-05-29 23:38:51,2832,Learn Web Scraping with Node.js,60,EASY,2024-10-04 09:09:00.000,2032-06-29 09:09:00.000,10000.0,94.0
71,71,7,1887,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-06-08 04:22:58,71,7,1887,-1,2023-10-06 11:33:30,1887,Didgeridoo - from zero to HERO! Part One - beginning,180,EASY,2024-10-04 09:09:00.000,2029-11-27 09:09:00.000,0.0,0.0
72,72,7,1250,11.761691056439716,53.34250451699524,17,IN_PROGRESS,None,58.0,73.0,9,10,2024-02-20 02:55:56,72,7,1250,-1,2023-08-22 06:27:14,1250,Aprenda Modelagem 3D com o 123D Design,60,EASY,2024-10-04 09:09:00.000,2028-02-29 09:09:00.000,1176.1691056439715,131.0
73,73,7,3406,100.0,95.5543382026992,3,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,51.0,74.0,10,3,2024-02-13 22:36:18,73,7,3406,-1,2020-07-23 22:32:31,3406,SAP - Learn SAPUI5 Professional Development,420,EASY,2024-10-04 09:10:00.000,2034-01-24 09:09:00.000,10000.0,125.0
74,74,7,1571,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-05-04 14:51:07,74,7,1571,-1,2023-12-16 20:51:09,1571,Events Promotion Design,120,MEDIUM,2024-10-04 09:09:00.000,2029-01-15 09:09:00.000,0.0,0.0
75,75,7,866,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-22 01:27:25,75,7,866,-1,2023-10-26 07:32:57,866,Corporation Tax Returns UK,120,EASY,2024-10-04 09:09:00.000,2027-02-10 09:09:00.000,0.0,0.0
76,76,7,1802,78.06679622763492,98.4235457921192,16,IN_PROGRESS,None,78.0,62.0,1,6,2024-07-31 19:37:47,76,7,1802,-1,2020-06-19 12:58:22,1802,Infographic Design: How To Create Your Own Infographic,120,EASY,2024-10-04 09:09:00.000,2029-09-03 09:09:00.000,7806.679622763492,140.0
77,77,7,449,100.0,87.38249109887073,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,45.0,51.0,10,1,2024-05-22 06:38:47,77,7,449,-1,2020-04-30 19:14:20,449,The Advantages of ETF Options and Index Options Trading,60,MEDIUM,2024-10-04 09:09:00.000,2025-12-20 09:09:00.000,10000.0,96.0
78,78,7,224,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-18 05:04:46,78,7,224,-1,2020-04-12 03:56:58,224,CFA Corporate Finance Level 2,1050,EASY,2024-10-04 09:09:00.000,2025-05-09 09:09:00.000,0.0,0.0
79,79,7,1995,100.0,80.68814965501359,26,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,44.0,97.0,4,5,2024-01-07 16:49:32,79,7,1995,-1,2022-06-03 18:30:13,1995,Ultimate Beginner Guitar Masterclass,690,EASY,2024-10-04 09:09:00.000,2030-03-15 09:09:00.000,10000.0,141.0
80,80,7,887,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-02-29 22:39:08,80,7,887,-1,2021-11-22 08:19:46,887,Psicología del trading,36,EASY,2024-10-04 09:09:00.000,2027-03-03 09:09:00.000,0.0,0.0
81,81,7,2703,100.0,79.64282620672198,20,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,74.0,62.0,4,1,2024-03-17 16:15:46,81,7,2703,-1,2021-11-07 00:43:39,2703,The Complete Web Developer Bootcamp - Beginner to Expert,1290,EASY,2024-10-04 09:09:00.000,2032-02-21 09:09:00.000,10000.0,136.0
82,82,7,1708,100.0,76.41794216502825,24,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,70.0,71.0,3,3,2024-08-05 10:09:10,82,7,1708,-1,2023-12-19 17:36:35,1708,"Learn Calligraphy, Handwriting animation wz After Effects",150,EASY,2024-10-04 09:10:00.000,2029-06-01 09:09:00.000,10000.0,141.0
