id,title,duration,difficultyLevel,createdAt,updatedAt
25,7 Deadly Mistakes of Investing that Will Slash Your Profits!,90,EASY,2024-10-04 09:09:00.000,2024-10-22 09:09:00.000
26,Financial Statements Made Easy,35,EASY,2024-10-04 09:09:00.000,2024-10-23 09:09:00.000
27,Winning Forex Trading with Live Forex Trading Examples,120,EASY,2024-10-04 09:09:00.000,2024-10-24 09:09:00.000
28,Forex Traders - Create Your First Trading Robot. No Coding!,240,EASY,2024-10-04 09:10:00.000,2024-10-25 09:09:00.000
29,Create A Business From Home Trading Stocks Today In 2017,120,EASY,2024-10-04 09:09:00.000,2024-10-26 09:09:00.000
30,Introduction to Accounting : Mastering Financial Statements,60,EASY,2024-10-04 09:09:00.000,2024-10-27 09:09:00.000
31,The Complete Ethereum Course: Get .01 Ether In Your Wallet,120,EASY,2024-10-04 09:09:00.000,2024-10-28 09:09:00.000
32,Beginner to Pro in PowerPoint: Complete PowerPoint Training,300,EASY,2024-10-04 09:09:00.000,2024-10-29 09:09:00.000
33,Investing 101: The Complete Online Investing Course,270,EASY,2024-10-04 09:09:00.000,2024-10-30 09:09:00.000
34,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,120,MEDIUM,2024-10-04 09:10:00.000,2024-10-31 09:09:00.000
35,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),270,EASY,2024-10-04 09:09:00.000,2024-11-01 09:09:00.000
36,Forex Trading: Your Complete Guide to Get Started Like a Pro,180,EASY,2024-10-04 09:09:00.000,2024-11-02 09:09:00.000
37,Python Algo Stock Trading: Automate Your Trading!,150,EASY,2024-10-04 09:09:00.000,2024-11-03 09:09:00.000
38,THE Forex Robot: Incredible ROI (Robot Included),90,EASY,2024-10-04 09:09:00.000,2024-11-04 09:09:00.000
39,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,390,EASY,2024-10-04 09:09:00.000,2024-11-05 09:09:00.000
40,Mastering High Probability Iron Condor Options Trading,120,EASY,2024-10-04 09:10:00.000,2024-11-06 09:09:00.000
41,The Complete Short Course on Ethereum,90,EASY,2024-10-04 09:09:00.000,2024-11-07 09:09:00.000
42,Options Trading Stocks: Proven Toolbox For Financial Success,600,MEDIUM,2024-10-04 09:09:00.000,2024-11-08 09:09:00.000
43,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,330,EASY,2024-10-04 09:09:00.000,2024-11-09 09:09:00.000
44,"Introduction to Finance, Accounting, Modeling and Valuation",270,EASY,2024-10-04 09:09:00.000,2024-11-10 09:09:00.000
45,Beginner to Pro in Excel: Financial Modeling and Valuation,450,EASY,2024-10-04 09:09:00.000,2024-11-11 09:09:00.000
46,The Complete Investment Banking Course 2017,330,EASY,2024-10-04 09:10:00.000,2024-11-12 09:09:00.000
47,The Complete Financial Analyst Course 2017,600,EASY,2024-10-04 09:09:00.000,2024-11-13 09:09:00.000
48,Python for Finance: Investment Fundamentals & Data Analytics,390,EASY,2024-10-04 09:09:00.000,2024-11-14 09:09:00.000
49,Financial Modeling for Startups & Small Businesses,690,EASY,2024-10-04 09:09:00.000,2024-11-15 09:09:00.000
50,Options Trading - How to Win with Weekly Options,60,MEDIUM,2024-10-04 09:09:00.000,2024-11-16 09:09:00.000
51,Black Algo Trading: Build Your Trading Robot,960,EASY,2024-10-04 09:09:00.000,2024-11-17 09:09:00.000
52,Accounting & Financial Statement Analysis: Complete Training,180,EASY,2024-10-04 09:10:00.000,2024-11-18 09:09:00.000
53,Cryptocurrency Trading: Complete Guide To Trading Altcoins,300,EASY,2024-10-04 09:09:00.000,2024-11-19 09:09:00.000
54,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,330,EASY,2024-10-04 09:09:00.000,2024-11-20 09:09:00.000
55,Three Steps Trading - Live Trading - Real Account,300,EASY,2024-10-04 09:09:00.000,2024-11-21 09:09:00.000
56,Option Trading for Rookies:  Understand Options Completely,120,EASY,2024-10-04 09:09:00.000,2024-11-22 09:09:00.000
57,How I Learned Stock Trading (and How You Can Too),120,HARD,2024-10-04 09:09:00.000,2024-11-23 09:09:00.000
58,Learn to Trade for Profit: Find and Trade Winning Stocks,180,EASY,2024-10-04 09:10:00.000,2024-11-24 09:09:00.000
59,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,120,MEDIUM,2024-10-04 09:09:00.000,2024-11-25 09:09:00.000
60,Four Fundamentals of Financial Planning,60,EASY,2024-10-04 09:09:00.000,2024-11-26 09:09:00.000
61,Options Trading - Calendar Spread Course for Every Trader,90,EASY,2024-10-04 09:09:00.000,2024-11-27 09:09:00.000
62,Dividend Investing: Build Your Portfolio for a Better Future,240,EASY,2024-10-04 09:09:00.000,2024-11-28 09:09:00.000
63,Learn Accounting. Understand Business.,330,EASY,2024-10-04 09:09:00.000,2024-11-29 09:09:00.000
64,How to Consistently Win Trading Stocks in 30 Days or Less,60,MEDIUM,2024-10-04 09:10:00.000,2024-11-30 09:09:00.000
65,A Beginner's Guide to Quantopian Futures API,90,MEDIUM,2024-10-04 09:09:00.000,2024-12-01 09:09:00.000
66,How to Buy Cheap Options - Options Trading Pricing Model,60,EASY,2024-10-04 09:09:00.000,2024-12-02 09:09:00.000
67,Excel Crash Course: Master Excel for Financial Analysis,210,EASY,2024-10-04 09:09:00.000,2024-12-03 09:09:00.000
68,"Comprehensive Guide to Financial Markets, Investing &Trading",540,EASY,2024-10-04 09:09:00.000,2024-12-04 09:09:00.000
69,Stock Trading Ninja: Complete System For Trading Success,270,EASY,2024-10-04 09:09:00.000,2024-12-05 09:09:00.000
70,Hedge and Mutual Fund Careers: The Complete Guide,510,EASY,2024-10-04 09:10:00.000,2024-12-06 09:09:00.000
71,Algorithmic Trading In Forex: Create Your First Forex Robot!,390,EASY,2024-10-04 09:09:00.000,2024-12-07 09:09:00.000
72,The Power Modeling Bootcamp: Advanced Excel in 10 Days,330,EASY,2024-10-04 09:09:00.000,2024-12-08 09:09:00.000
73,Options Trading Basics (3-Course Bundle),660,EASY,2024-10-04 09:09:00.000,2024-12-09 09:09:00.000
74,How to Win 97% of Your Options Trades,90,EASY,2024-10-04 09:09:00.000,2024-12-10 09:09:00.000
75,How I Make Consistent Returns Trading Options,210,EASY,2024-10-04 09:09:00.000,2024-12-11 09:09:00.000
76,"Forex Strategies: Kelly Criterion, Larry Williams and more!",180,EASY,2024-10-04 09:10:00.000,2024-12-12 09:09:00.000
77,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",300,EASY,2024-10-04 09:09:00.000,2024-12-13 09:09:00.000
78,Options Trading Introduction: Day Trade Stock Options,150,EASY,2024-10-04 09:09:00.000,2024-12-14 09:09:00.000
79,The Almost Perfect Options Trading Strategy System - Unique,60,EASY,2024-10-04 09:09:00.000,2024-12-15 09:09:00.000
80,Forex Trading -  Learn to Trade Forex Like the Banks,60,EASY,2024-10-04 09:09:00.000,2024-12-16 09:09:00.000
81,Learn to Trade for Profit:Trading with Japanese Candlesticks,180,EASY,2024-10-04 09:09:00.000,2024-12-17 09:09:00.000
82,The Most Powerful Options Spread Trading Front Ratio Spread,120,EASY,2024-10-04 09:10:00.000,2024-12-18 09:09:00.000
83,What Finance Job is for You? Explanation of 14 Finance Roles,240,EASY,2024-10-04 09:09:00.000,2024-12-19 09:09:00.000
84,The Blueprint for Successful Stock Trading,60,EASY,2024-10-04 09:09:00.000,2024-12-20 09:09:00.000
85,Trading for Beginners - Intermediate Level,300,EASY,2024-10-04 09:09:00.000,2024-12-21 09:09:00.000
86,Start Trading Stocks Using Technical Analysis!,240,EASY,2024-10-04 09:09:00.000,2024-12-22 09:09:00.000
87,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,90,HARD,2024-10-04 09:09:00.000,2024-12-23 09:09:00.000
88,VPS for Forex Trading - Protect Your Forex Robots,120,EASY,2024-10-04 09:10:00.000,2024-12-24 09:09:00.000
89,Introduction to Accounting: The Language of Business,690,EASY,2024-10-04 09:09:00.000,2024-12-25 09:09:00.000
90,Basic Excel for Basic Bookkeeping and Accounting,90,EASY,2024-10-04 09:09:00.000,2024-12-26 09:09:00.000
91,Using 'The Greeks To Understand Options,60,EASY,2024-10-04 09:09:00.000,2024-12-27 09:09:00.000
92,Trading Options For Consistent Returns: Calendar Spreads,90,EASY,2024-10-04 09:09:00.000,2024-12-28 09:09:00.000
93,How to Create Your Personal Budget,60,EASY,2024-10-04 09:09:00.000,2024-12-29 09:09:00.000
94,The Complete Value Investing Course: A Proven Approach,270,EASY,2024-10-04 09:10:00.000,2024-12-30 09:09:00.000
95,FOREX Trading with Price Action,60,EASY,2024-10-04 09:09:00.000,2024-12-31 09:09:00.000
96,Emini ES Futures - Advanced Non Directional Options Trading,90,EASY,2024-10-04 09:09:00.000,2025-01-01 09:09:00.000
97,Forex Trading - Advanced Fundamental Analysis,150,MEDIUM,2024-10-04 09:09:00.000,2025-01-02 09:09:00.000
98,How To Invest With Tiny Capital In Stocks ?,42,EASY,2024-10-04 09:09:00.000,2025-01-03 09:09:00.000
99,Learn How To Successfully Trade Stocks: In 5 Simple Steps,570,EASY,2024-10-04 09:09:00.000,2025-01-04 09:09:00.000
100,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,300,EASY,2024-10-04 09:10:00.000,2025-01-05 09:09:00.000
101,Intermediate Options trading concepts for Stocks and Options,60,EASY,2024-10-04 09:09:00.000,2025-01-06 09:09:00.000
102,Options Trading 101: The Basics,33,EASY,2024-10-04 09:09:00.000,2025-01-07 09:09:00.000
103,Practical Accounts APP Overview,180,MEDIUM,2024-10-04 09:09:00.000,2025-01-08 09:09:00.000
104,Bitcoin Profits for Beginners,90,EASY,2024-10-04 09:09:00.000,2025-01-09 09:09:00.000
105,Trend Traders Club: How To Find And Trade Fast Moving Trends,330,EASY,2024-10-04 09:09:00.000,2025-01-10 09:09:00.000
106,Financial Statements Basics,120,EASY,2024-10-04 09:10:00.000,2025-01-11 09:09:00.000
107,High performance Stock Trading using key Options techniques,90,EASY,2024-10-04 09:09:00.000,2025-01-12 09:09:00.000
108,Introduction to Financial Statement Analysis,90,EASY,2024-10-04 09:09:00.000,2025-01-13 09:09:00.000
109,Basics of Economics (College Level),90,EASY,2024-10-04 09:09:00.000,2025-01-14 09:09:00.000
110,Stock Market Investing for Beginners,90,EASY,2024-10-04 09:09:00.000,2025-01-15 09:09:00.000
111,Accounting for Beginners : Learn Basics in under 1 Hour,90,EASY,2024-10-04 09:09:00.000,2025-01-16 09:09:00.000
112,Straddle Options Trading - Profit in Any Market Direction,60,EASY,2024-10-04 09:10:00.000,2025-01-17 09:09:00.000
113,Fundamentals of Forex Trading,60,EASY,2024-10-04 09:09:00.000,2025-01-18 09:09:00.000
114,"Binary Options: Trading Strategies, 90% Accuracy and Signals",60,EASY,2024-10-04 09:09:00.000,2025-01-19 09:09:00.000
115,Website Investing 101 - Buying & Selling Online Businesses,120,EASY,2024-10-04 09:09:00.000,2025-01-20 09:09:00.000
116,Practical Accounts & Bookkeeping Automated Overview ,270,EASY,2024-10-04 09:09:00.000,2025-01-21 09:09:00.000
117,Live Account - ETF Trading System - Hacking The Stock Market,300,EASY,2024-10-04 09:09:00.000,2025-01-22 09:09:00.000
118,Stock Market Leverage: How to Start Trading Options Wisely,90,EASY,2024-10-04 09:10:00.000,2025-01-23 09:09:00.000
119,Stock Market Foundations,120,EASY,2024-10-04 09:09:00.000,2025-01-24 09:09:00.000
120,Crash Course on Working Capital Management,60,EASY,2024-10-04 09:09:00.000,2025-01-25 09:09:00.000
121,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,3720,EASY,2024-10-04 09:09:00.000,2025-01-26 09:09:00.000
122,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,90,EASY,2024-10-04 09:09:00.000,2025-01-27 09:09:00.000
123,How to create a routine Trading,8,EASY,2024-10-04 09:09:00.000,2025-01-28 09:09:00.000
124,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",41,EASY,2024-10-04 09:10:00.000,2025-01-29 09:09:00.000
125,Forex SOS Course: Trading Tweaks And Working Forex Strategy,150,EASY,2024-10-04 09:09:00.000,2025-01-30 09:09:00.000
126,Introduction to Financial Modeling,90,MEDIUM,2024-10-04 09:09:00.000,2025-01-31 09:09:00.000
127,Quantitative Aptitude for Banking & Competitive Examinations,180,EASY,2024-10-04 09:09:00.000,2025-02-01 09:09:00.000
128,Option Spreads and Credit Spreads Bundle,270,HARD,2024-10-04 09:09:00.000,2025-02-02 09:09:00.000
129,B Com Accountancy I (Paper ECO 02 IGNOU),1890,EASY,2024-10-04 09:09:00.000,2025-02-03 09:09:00.000
130,FOREX TRADING - Learn in a quick + profitable way + support,210,EASY,2024-10-04 09:10:00.000,2025-02-04 09:09:00.000
131,Auditing Basics (Professional Course Level),150,EASY,2024-10-04 09:09:00.000,2025-02-05 09:09:00.000
132,Stock market Investing Encyclopedia: How to invest in stocks,180,MEDIUM,2024-10-04 09:09:00.000,2025-02-06 09:09:00.000
133,Learn the basics of preparing accounting statements,33,MEDIUM,2024-10-04 09:09:00.000,2025-02-07 09:09:00.000
134,Elliott Wave -Forex Trading With The Elliott Wave Theory,60,HARD,2024-10-04 09:09:00.000,2025-02-08 09:09:00.000
135,Corporate Finance - A Brief Introduction,90,EASY,2024-10-04 09:09:00.000,2025-02-09 09:09:00.000
136,Excel functions to analyze and visualize data,120,MEDIUM,2024-10-04 09:10:00.000,2025-02-10 09:09:00.000
137,Building Financial Statements in Excel,60,EASY,2024-10-04 09:09:00.000,2025-02-11 09:09:00.000
138,Transfer Pricing A Complete Analysis,150,EASY,2024-10-04 09:09:00.000,2025-02-12 09:09:00.000
139,Accounting: Get Hired Without Work Experience,60,EASY,2024-10-04 09:09:00.000,2025-02-13 09:09:00.000
140,Forex Trading for Beginners - Basics,60,EASY,2024-10-04 09:09:00.000,2025-02-14 09:09:00.000
141,Basic Bookkeeping Hacks,90,EASY,2024-10-04 09:09:00.000,2025-02-15 09:09:00.000
142,Complete Trading Plan Course for Stocks & Forex (10 Hours),570,EASY,2024-10-04 09:10:00.000,2025-02-16 09:09:00.000
143,Forex Trading with Fixed 'Risk through Options Trading,60,EASY,2024-10-04 09:09:00.000,2025-02-17 09:09:00.000
144,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",1200,EASY,2024-10-04 09:09:00.000,2025-02-18 09:09:00.000
145,How to Pick The Right Penny Stocks To Invest In 2017,150,EASY,2024-10-04 09:09:00.000,2025-02-19 09:09:00.000
146,Top 10 Trading Ideas in the Equities Market,60,EASY,2024-10-04 09:09:00.000,2025-02-20 09:09:00.000
147,Intro to Financial Modeling,360,EASY,2024-10-04 09:09:00.000,2025-02-21 09:09:00.000
148,Shark Accounting - Building a Business by the Numbers!,90,EASY,2024-10-04 09:10:00.000,2025-02-22 09:09:00.000
149,Forex Trading MAKE YOUR FIRST TRADE TODAY!,240,EASY,2024-10-04 09:09:00.000,2025-02-23 09:09:00.000
150,Accounting in 60 Minutes - A Brief Introduction,90,EASY,2024-10-04 09:09:00.000,2025-02-24 09:09:00.000
151,SAP FICO For Beginners - A Guide to SAP Financial Accounts,300,EASY,2024-10-04 09:09:00.000,2025-02-25 09:09:00.000
152,Learn how to double your Forex Trading Account in one trade,150,MEDIUM,2024-10-04 09:09:00.000,2025-02-26 09:09:00.000
153,"Accounting Superpowers: Learn Accounts, Understand Business!",150,EASY,2024-10-04 09:09:00.000,2025-02-27 09:09:00.000
154,Python Algo Trading: FX Trading with Oanda,180,MEDIUM,2024-10-04 09:10:00.000,2025-02-28 09:09:00.000
155,Save on Your Taxes,90,EASY,2024-10-04 09:09:00.000,2025-03-01 09:09:00.000
156,Financial Model Basics: Build a model from start to finish,60,EASY,2024-10-04 09:09:00.000,2025-03-02 09:09:00.000
157,Option Trading for Rookies: The Covered Call Option Strategy,90,EASY,2024-10-04 09:09:00.000,2025-03-03 09:09:00.000
158,EFT for Stock Options Trading Success & Making Better Trades,90,EASY,2024-10-04 09:09:00.000,2025-03-04 09:09:00.000
159,Learn to Trade the Stock Market without Blowing Your Profits,60,EASY,2024-10-04 09:09:00.000,2025-03-05 09:09:00.000
160,Get a Credit Repair Publication On Amazon and Live LIFE..,180,EASY,2024-10-04 09:10:00.000,2025-03-06 09:09:00.000
161,Fundamentals of Accounting,180,EASY,2024-10-04 09:09:00.000,2025-03-07 09:09:00.000
162,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",210,EASY,2024-10-04 09:09:00.000,2025-03-08 09:09:00.000
163,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,60,MEDIUM,2024-10-04 09:09:00.000,2025-03-09 09:09:00.000
164,Accounting 101: How to read an Accounting Balance Sheet,120,EASY,2024-10-04 09:09:00.000,2025-03-10 09:09:00.000
165,Stock Options Day Trading Mindset for Success,270,EASY,2024-10-04 09:09:00.000,2025-03-11 09:09:00.000
166,Introduction to bookkeeping and Accounting,60,EASY,2024-10-04 09:10:00.000,2025-03-12 09:09:00.000
167,Learn to Trade The News,2790,EASY,2024-10-04 09:09:00.000,2025-03-13 09:09:00.000
168,"Value Investing, Taught by Six Superinvestors",300,EASY,2024-10-04 09:09:00.000,2025-03-14 09:09:00.000
169,Trading for everyone - The Independent Investor Course I,240,EASY,2024-10-04 09:09:00.000,2025-03-15 09:09:00.000
170,Get Acquired: Learn From The Head Of Acquisitions For eBay,150,EASY,2024-10-04 09:09:00.000,2025-03-16 09:09:00.000
171,Stock Market investment: Practical Accounting,180,EASY,2024-10-04 09:09:00.000,2025-03-17 09:09:00.000
172,How to remove 'Risk from Penny Stocks - Options Trading,60,EASY,2024-10-04 09:10:00.000,2025-03-18 09:09:00.000
173,Accounting Basics in 66 Minutes (absolutely for beginners),90,EASY,2024-10-04 09:09:00.000,2025-03-19 09:09:00.000
174,"Tax Accounting: Difficult Topic, Made Easy to Understand",120,EASY,2024-10-04 09:09:00.000,2025-03-20 09:09:00.000
175,Analysis of Company Financial Statements,90,EASY,2024-10-04 09:09:00.000,2025-03-21 09:09:00.000
176,Forex Trading Like Banks – Step by Step with Live Examples,270,EASY,2024-10-04 09:09:00.000,2025-03-22 09:09:00.000
177,Fundamentals of Investing!,120,EASY,2024-10-04 09:09:00.000,2025-03-23 09:09:00.000
178,Bank Financial Management A Comprehensive Study,90,EASY,2024-10-04 09:10:00.000,2025-03-24 09:09:00.000
179,Learn to Trade Forex and Stocks: From Beginner to Advanced,120,EASY,2024-10-04 09:09:00.000,2025-03-25 09:09:00.000
180,Master 'Technical Analysis and Chart reading skills Bundle,180,EASY,2024-10-04 09:09:00.000,2025-03-26 09:09:00.000
181,Naked Put Options Trade Covered Call & Poor Man Covered Call,90,EASY,2024-10-04 09:09:00.000,2025-03-27 09:09:00.000
182,The Ultimate Guide to Dividend & Dividend Growth Investing,330,EASY,2024-10-04 09:09:00.000,2025-03-28 09:09:00.000
183,Charting for Beginners 101: Technical Analysis Demystified,90,EASY,2024-10-04 09:09:00.000,2025-03-29 09:09:00.000
184,Build a DCF Valuation Model,330,EASY,2024-10-04 09:10:00.000,2025-03-30 09:09:00.000
185,Introductory Financial Accounting,600,EASY,2024-10-04 09:09:00.000,2025-03-31 09:09:00.000
186,Introduction to Cryptocurrencies and Blockchain,120,EASY,2024-10-04 09:09:00.000,2025-04-01 09:09:00.000
187,Trade Pullback Candlestick Strategy - Make Consistent Pips,180,EASY,2024-10-04 09:09:00.000,2025-04-02 09:09:00.000
188,Accounting Standards Basics (Professional Course Level),42,EASY,2024-10-04 09:09:00.000,2025-04-03 09:09:00.000
189,Use the Magic Multiple Moving Average Forex Trading system,60,MEDIUM,2024-10-04 09:09:00.000,2025-04-04 09:09:00.000
190,QuickBooks 2015 Training for Newbies,360,EASY,2024-10-04 09:10:00.000,2025-04-05 09:09:00.000
191,TRADING PSYCHOLOGY: Trading Mindset Mastery,60,MEDIUM,2024-10-04 09:09:00.000,2025-04-06 09:09:00.000
192,Option Trading: How to Adjust Delta-Neutral Strangles!,90,EASY,2024-10-04 09:09:00.000,2025-04-07 09:09:00.000
193,Profitable binary option trading strategy,90,EASY,2024-10-04 09:09:00.000,2025-04-08 09:09:00.000
194,Tax Strategy: Financial Planning for Beginners,120,EASY,2024-10-04 09:09:00.000,2025-04-09 09:09:00.000
195,Accounting 2 Simplified for You,300,EASY,2024-10-04 09:09:00.000,2025-04-10 09:09:00.000
196,Project Funding Modelling (for Professionals),90,EASY,2024-10-04 09:10:00.000,2025-04-11 09:09:00.000
197,Investing: How I Consistently Beat The Stock Market,270,EASY,2024-10-04 09:09:00.000,2025-04-12 09:09:00.000
198,Bookkeeping Basics:  Understand the Fundamentals,270,EASY,2024-10-04 09:09:00.000,2025-04-13 09:09:00.000
199,Leasing - A Comprehensive Study (Professional Course Level),210,EASY,2024-10-04 09:09:00.000,2025-04-14 09:09:00.000
200,Trading Options For Consistent Returns: Options Basics,90,EASY,2024-10-04 09:09:00.000,2025-04-15 09:09:00.000
201,TechniTrader Leading Hybrid Indicator Trading,60,MEDIUM,2024-10-04 09:09:00.000,2025-04-16 09:09:00.000
202,Financial modeling: Build a DCF equity valuation model,90,EASY,2024-10-04 09:10:00.000,2025-04-17 09:09:00.000
203,CryptoArbitrager: Bitcoin Trading Robot (no mining),33,EASY,2024-10-04 09:09:00.000,2025-04-18 09:09:00.000
204,Accounting Is Easy (for Beginners),540,EASY,2024-10-04 09:09:00.000,2025-04-19 09:09:00.000
205,Non Directional Weekly Options Trading System - ETF & Emini,120,EASY,2024-10-04 09:09:00.000,2025-04-20 09:09:00.000
206,The Complete Position Trading Course: Position Trading Stock,60,EASY,2024-10-04 09:09:00.000,2025-04-21 09:09:00.000
207,Master Iron Condors - Double the credit for half the risk,60,HARD,2024-10-04 09:09:00.000,2025-04-22 09:09:00.000
208,Basics of investing in Mutual Funds,90,MEDIUM,2024-10-04 09:10:00.000,2025-04-23 09:09:00.000
209,A Value Investing Approach to the Stock Market,90,EASY,2024-10-04 09:09:00.000,2025-04-24 09:09:00.000
210,Learn how to INVEST for huge profits or make it big trading!,330,EASY,2024-10-04 09:09:00.000,2025-04-25 09:09:00.000
211,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",360,MEDIUM,2024-10-04 09:09:00.000,2025-04-26 09:09:00.000
212,Mastering Candlestick Charting : High Probability Trading,120,EASY,2024-10-04 09:09:00.000,2025-04-27 09:09:00.000
213,Binary Options Course - Level 2,120,MEDIUM,2024-10-04 09:09:00.000,2025-04-28 09:09:00.000
214,Stock Technical Analysis with R,420,EASY,2024-10-04 09:10:00.000,2025-04-29 09:09:00.000
215,Get to know the VIX Index (aka 'The Fear Index),60,EASY,2024-10-04 09:09:00.000,2025-04-30 09:09:00.000
216,Apply finance concepts for smart project management,120,EASY,2024-10-04 09:09:00.000,2025-05-01 09:09:00.000
217,Introduction to Futures Trading and Live Trade Demonstration,43,HARD,2024-10-04 09:09:00.000,2025-05-02 09:09:00.000
218,Crowdfunding to Win,90,EASY,2024-10-04 09:09:00.000,2025-05-03 09:09:00.000
219,Comprehensive Forex Mastery Program,600,EASY,2024-10-04 09:09:00.000,2025-05-04 09:09:00.000
220,Preparation of Consolidated Financial Statements (Basic),90,MEDIUM,2024-10-04 09:10:00.000,2025-05-05 09:09:00.000
221,Succeed in Bonds Even if You Don't Know Where to Start,60,EASY,2024-10-04 09:09:00.000,2025-05-06 09:09:00.000
222,Learn to Trade for Profit: Ten Most Profitable Trading Rules,120,EASY,2024-10-04 09:09:00.000,2025-05-07 09:09:00.000
2837,Learn to Setup Websites from Scratch,210,EASY,2024-10-04 09:09:00.000,2032-07-04 09:09:00.000
223,Succeed in Lotto Even if You Don't Know Where to Start!,90,EASY,2024-10-04 09:09:00.000,2025-05-08 09:09:00.000
224,CFA Corporate Finance Level 2,1050,EASY,2024-10-04 09:09:00.000,2025-05-09 09:09:00.000
225,Pin Bars: The Most Powerful Forex Trading Signal,60,EASY,2024-10-04 09:09:00.000,2025-05-10 09:09:00.000
226,Stock Options Trades Using Interactive Brokers,60,MEDIUM,2024-10-04 09:10:00.000,2025-05-11 09:09:00.000
227,Introduction to Options - Strategies For Consistent Profits,270,EASY,2024-10-04 09:09:00.000,2025-05-12 09:09:00.000
228,Risk in Forex Transactions - for CA / CS / CFA exams,60,EASY,2024-10-04 09:09:00.000,2025-05-13 09:09:00.000
229,Basics of Business Statistics (College Level),120,EASY,2024-10-04 09:09:00.000,2025-05-14 09:09:00.000
230,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",120,EASY,2024-10-04 09:09:00.000,2025-05-15 09:09:00.000
231,Interpreting Financial Statements,90,EASY,2024-10-04 09:09:00.000,2025-05-16 09:09:00.000
232,Introduction to Bookkeeping (Accounting),720,EASY,2024-10-04 09:10:00.000,2025-05-17 09:09:00.000
233,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,120,MEDIUM,2024-10-04 09:09:00.000,2025-05-18 09:09:00.000
