courseId,Course Title,Average Total Score
139,Accounting: Get Hired Without Work Experience,92.8
140,Forex Trading for Beginners - Basics,0.0
141,Basic Bookkeeping Hacks,170.0
143,Forex Trading with Fixed 'Risk through Options Trading,0.0
145,How to Pick The Right Penny Stocks To Invest In 2017,67.0
147,Intro to Financial Modeling,61.66666666666666
148,Shark Accounting - Building a Business by the Numbers!,0.0
149,Forex Trading MAKE YOUR FIRST TRADE TODAY!,0.0
152,Learn how to double your Forex Trading Account in one trade,101.0
154,Python Algo Trading: FX Trading with Oanda,55.0
157,Option Trading for Rookies: The Covered Call Option Strategy,103.5
158,EFT for Stock Options Trading Success & Making Better Trades,48.0
160,Get a Credit Repair Publication On Amazon and Live LIFE..,24.33333333333333
162,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",56.25
164,Accounting 101: How to read an Accounting Balance Sheet,0.0
165,Stock Options Day Trading Mindset for Success,99.0
167,Learn to Trade The News,49.5
169,Trading for everyone - The Independent Investor Course I,49.0
171,Stock Market investment: Practical Accounting,152.0
173,Accounting Basics in 66 Minutes (absolutely for beginners),47.0
175,Analysis of Company Financial Statements,44.0
176,Forex Trading Like Banks – Step by Step with Live Examples,0.0
178,Bank Financial Management A Comprehensive Study,98.0
179,Learn to Trade Forex and Stocks: From Beginner to Advanced,0.0
180,Master 'Technical Analysis and Chart reading skills Bundle,0.0
182,The Ultimate Guide to Dividend & Dividend Growth Investing,144.5
183,Charting for Beginners 101: Technical Analysis Demystified,0.0
184,Build a DCF Valuation Model,0.0
187,Trade Pullback Candlestick Strategy - Make Consistent Pips,116.0
188,Accounting Standards Basics (Professional Course Level),104.0
189,Use the Magic Multiple Moving Average Forex Trading system,82.25
190,QuickBooks 2015 Training for Newbies,23.0
191,TRADING PSYCHOLOGY: Trading Mindset Mastery,0.0
192,Option Trading: How to Adjust Delta-Neutral Strangles!,73.25
193,Profitable binary option trading strategy,57.333333333333336
194,Tax Strategy: Financial Planning for Beginners,54.0
196,Project Funding Modelling (for Professionals),84.0
198,Bookkeeping Basics:  Understand the Fundamentals,117.5
201,TechniTrader Leading Hybrid Indicator Trading,110.0
202,Financial modeling: Build a DCF equity valuation model,144.0
203,CryptoArbitrager: Bitcoin Trading Robot (no mining),46.0
204,Accounting Is Easy (for Beginners),71.0
205,Non Directional Weekly Options Trading System - ETF & Emini,62.66666666666666
208,Basics of investing in Mutual Funds,55.0
209,A Value Investing Approach to the Stock Market,143.0
210,Learn how to INVEST for huge profits or make it big trading!,63.5
212,Mastering Candlestick Charting : High Probability Trading,43.0
213,Binary Options Course - Level 2,93.5
214,Stock Technical Analysis with R,0.0
215,Get to know the VIX Index (aka 'The Fear Index),0.0
216,Apply finance concepts for smart project management,45.0
217,Introduction to Futures Trading and Live Trade Demonstration,67.0
218,Crowdfunding to Win,71.0
220,Preparation of Consolidated Financial Statements (Basic),0.0
221,Succeed in Bonds Even if You Don't Know Where to Start,137.0
222,Learn to Trade for Profit: Ten Most Profitable Trading Rules,0.0
224,CFA Corporate Finance Level 2,0.0
226,Stock Options Trades Using Interactive Brokers,0.0
228,Risk in Forex Transactions - for CA / CS / CFA exams,143.5
229,Basics of Business Statistics (College Level),98.0
230,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",95.0
232,Introduction to Bookkeeping (Accounting),165.0
233,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,0.0
234,Investment Banking: How to Land a Job on Wall Street,57.0
235,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,37.5
236,Financial modeling: Build a multiples valuation model,149.0
237,Trade Recap I - A Real Look at Futures Options Markets,0.0
241,How to be a Profitable Forex Trader,57.5
242,Excel Dashboard - Interactive Excel Dashboard and Charts,77.0
243,Accounting 101: Learn Business Finance Forecasting in 60mins,133.0
244,The Securities Trade Lifecycle,133.0
246,Technical Analysis 101: How to Profit During Market Crashes,60.5
247,Advanced Accounting for Investment Banking,45.5
248,Investing In Stocks With 10 Simple Rules,57.5
251,Direction-Independ Trading - Elite Forex Traders  Strategy,113.33333333333331
253,First Steps to Trading the Forexmarkets : Technical Analysis,0.0
254,Financial analysis: Compare performance of companies,84.33333333333333
256,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),78.4
258,10 Numbers Every Business Owner Should Know,54.0
259,Learn How To Trade Gold In 2017,146.0
260,IAS 18 - Revenue,83.66666666666667
263,Fundamentals of Accounting for Business Owners,98.0
264,Practical Financial Statement Analysis,83.5
265,Forex Management - Detailed Study for CA / CS / CFA Exams,101.0
266,Financial Statement Review 101:  How to Find Errors,54.66666666666666
267,Professional Risk Manager (PRM) Certification: Level 1,0.0
268,International Tax  - Tax Beyond boundaries,135.0
269,The Complete Financial Statement Analysis Course,134.0
273,Build A Career In Forex Trading- Learn Fundamental Analysis,121.0
277,Stock Market investment:Non financial fundamental analysis,178.0
278,Learn How to Play CashFlow Game,0.0
279,Basics of Business Finance,112.0
281,"Bitcoin: el futuro del dinero, hoy",148.0
282,Aprende a invertir practicando,99.0
284,Mit Finanzwissen zu besserem Unternehmertum,106.5
285,Como hacer empresa en 10 sesiones prácticas,80.0
286,المحاسبة للإداريين و غير المحاسبين,64.0
289,Curso Avanzado de Trading,137.5
290,สอนเทรดไบนารี่ อ๊อฟชั่นอย่างง่าย,121.5
291,MQL4 Tutorial Golden Goose,86.0
292,Análise de Concessão de Crédito,0.0
293,Technical Analysis Using Elliott Wave Theory,123.0
294,The Basics Of Volume Analysis,0.0
295,Crash Course on Cost of Capital and Capital Structuring,138.0
296,Business Accounting Made Easy,59.5
297,Build a DCF Model from Scratch,0.0
298,"Multiply your returns using 'Value Investing,https://www.udemy.com/multiply-your-returns-using-value-investing/,true,20,1942,19,63,All Levels,4.5 hours,2015-07-23T00:08:33Z
874284,Weekly Forex Analysis by Baraq FX",68.5
299,Technical Analysis - A practical approach for trade entry,79.0
300,Mastering Technical Analysis : Maximizing Trading Profits,0.0
301,The Complete Guide to Professional Trading with Elliott Wave,84.0
302,A Complete Guide to Becoming a Trader on the Forex Market,101.0
305,Technical Analysis 101: Secrets of Trading Revealed,106.0
306,Forex: What's a Trend and When it is Strong and Reliable,155.5
307,Volatility Trading Analysis with R,57.5
308,How To Profit From Stock Market Volatility,0.0
309,Awaken the Accountant in You | Master the Accounting Basics,46.0
310,WE WILL PAY YOU TO TRADE WITH US,0.0
311,Situational Trading: Proven Option Strategy for any Scenario,115.5
313,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),113.0
316,BITCOIN VISUALLY. Part I.,44.5
317,Learn and Master the Basics of Finance,47.25
319,Mastering the Market : (Technical Analysis + Candlestick),71.66666666666667
320,Mastering Countertrend Trading : High Profit Trading Pattern,93.0
321,Exam 1 Review - Managerial Accounting (U of H),133.5
322,* An Integrated Approach to the Fundamentals of Accounting,69.5
323,Get to grips with the CFA calculator,103.0
324,Financial Model Fundamentals-Learn the Essential Skills,170.75
325,Forex: Economic News Trading,46.5
326,Analyze Real Estate Investments | Financial Modeling,0.0
327,Forex For Beginners - A Guide To Currency Trading,27.5
328,Raise Your Credit Score to 800 Or More....,68.5
330,Forex Killing Divergence - How to trade with precision,128.0
331,Working Capital Management for CA / CFA / CPA Exams,0.0
332,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,143.0
333,Corporate Finance 101: Financial Statement Analysis & Ratios,43.0
334,Mastering Futures Options for Beginners - Your Top 5 Plays!,0.0
335,"Professional Options Trading, Simplified",58.0
336,"Advanced Options Concepts - Probability, Greeks, Simulation",41.0
340,Understand Banks & Financial Markets ,135.66666666666666
342,How to Become an Accountant from scratch!,69.0
343,How to invest in Gold,77.0
344,Automate Your Finances,107.0
346,Accounting Made Easy: A Quick Guide to Financial Accounting,78.0
347,Futures/Commodity Training (Basics),58.0
348,Cost Accounting Marginal Costing Theory and Practice,55.0
349,The Big Volatility Short: The Best Trade On Wall Street!,0.0
351,Learn Options on Futures for Hedging Options and Stocks,122.66666666666669
352,Option selling trading as income source. Beginners friendly,138.0
353,Introduction to Value Growth Investing,145.66666666666666
355,Hedge Fund Trading System,81.0
356,Bulletproof Personal Finance: Expert Asset Allocation,53.0
357,Financial Accounting: The Complete Introductory Crash Course,65.5
360,How to Build a Massive Stock Portfolio from Zero!,104.0
361,Introductory Forex Trading Course,125.33333333333331
363,Accounting and Finance for Bankers - A Comprehensive Study,160.0
364,Forex Prep Academy for Beginners-Real trades!,0.0
365,Accounting for Deferred Taxes (Professional Course Level),93.75
366,TRADING TRUTHS,0.0
368,Forex Trading vs Option Trading,167.0
369,How to Invest in Stocks + Billionaire Investing Tips,36.0
370,Value Investing For Beginners,54.0
371,TRADING TACTICS,106.0
373,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,95.0
374,build a solid foundation for trading options,79.0
375,Forex Scam: Avoid the scam today,86.0
376,Cost Accounting Crash Course,16.5
377,Option Trading for Rookies: Basic Option Strategies,72.0
378,Business Analysis:  Working with Use Cases,157.0
380,Business finances,69.0
384,Option Trading - How To Earn If You Can't Predict The Market,79.0
386,Covered Calls - Powerful Income Strategy for Stock Traders,0.0
388,[Value Investing] Where White People Keep Their Money,135.0
389,How to Start Investing: Made Simple and Easy,0.0
391,The Passive Investing Blueprint - Build Wealth Passively,0.0
392,7 Steps: Your Introduction to Trading,96.0
393,Forex - Elliott Wave Theory with Fibonacci. ,71.2
394,The Actuarial Profession: Basic Sciences and Principles,60.0
395,Investing in stocks: Avoid stock market loss,113.0
397,Build Financial Models & Value Companies The Easy Way,84.0
399,Chart Patterns Trading Demystified,0.0
400,Financial Planning & Analysis: Building a Company's Budget,21.0
403,Forex Trading: Comprehensive & Concise Forex Trading Course,72.0
406,Forex Trading -  Learn to Trade From Scratch!,113.0
407,Technical Analysis tools for Stocks and Options trading,78.0
408,Quantitative Trading Analysis with R,53.5
410,Get Started With Penny Stocks -Step by Step Guide to Trading,59.0
411,CPA 101: How To Master Affiliate Marketing In No Time,122.0
412,Corporate Internal Controls and Fraud Controls,94.0
414,Professional Risk Manager (PRM) Certification: Level 2,0.0
415,Trading Options Basics,0.0
416,Practical Trading on Financial Futures & Options Markets,76.5
418,The Visual Learning Basic Accounting Course,123.0
419,ChalkTalk: Financial Accounting,19.0
421,How to trade options,0.0
422,Coaching Course:Investment Analysis for your clients,0.0
424,The Investment Banking Recruitment Series,188.0
425,Business Banking 101,33.5
426,CFA Level I Workshop 2: Financial Reporting & Analysis I ,8.5
427,Breakout Patterns Workshop by Pattern Trader,147.0
429,Get Credit for Your EIN That's Not Linked to Your SSN,47.0
431,How to Pick Stocks,102.0
432,Binary Beginners Mastery Strategy.,155.0
433,Accounting 101-Master Class for Understanding Business,112.0
434,High-Frequency Trading & Dark Pools,72.5
435,How To Crowdfund,145.0
436,Financial Statement Fundamentals for Small Biz & Investors,95.5
438,Introduction to Trade Theory (Technical Analysis) For Stocks,0.0
440,IAS 12 - Accounting for Income Taxes (Basics),0.0
441,Surpassing Your Kickstarter Goals,0.0
442,Simple Linear Regression Analysis ( A Complete Course ),48.0
443,Forex: Learn to Trade Forex and FX Consistently,71.0
444,Trading: High-ROI Trading,190.0
445,Fundraising 101,0.0
446,Professional Bookkeeping & Accounting 2 - Bank Daybook,52.5
448,"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",78.8
449,The Advantages of ETF Options and Index Options Trading,92.5
451,"Investing In Stocks For Big Gains, Fundamental Investing",88.0
452,Introduction to Equity Markets,67.0
454,Financial Management - Ratio Analysis,0.0
455,ALGOTECH Hedge Fund Method for Stock Market Trading,90.0
457,Complete Claritas Investment Certificate,92.0
458,Introduction to the economics of public services regulation,0.0
459,Accounting Standard 3 - An Analysis,72.0
460,Essentials of money value: Get a financial Life !,24.0
462,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,107.0
464,Best Practices in Corporate Budgeting,67.0
465,Financial Statement Auditing Cycles,52.5
467,Building a Balanced Scorecard,97.0
470,CFA Level 2- Quantitative Methods,181.0
471,Foundations of Investing,67.0
472,Capital Market Road Map,73.0
473,TRADING: 5K CHALLENGE,153.0
474,CurrencyFair - Avoid Bank Charges when converting currencies,100.5
475,Bitcoin - A Comprehensive Guide,95.5
476,Forex Trading,121.0
479,Take Your Career to the Next Level with MBA Finance,111.25
481,Accounting Books of Accounts (College Level),104.0
482,Forex Trading Profitably,0.0
483,Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,106.5
484,Bitcoin Trading 101,65.0
486,IFRS Financial Reporting,45.5
487,Forex Trading System: Correlation EUR/GBP vs GBP/USD,164.0
493,Financial Reporting A Comprehensive Study,74.0
494,An Abundance Mindset: How to Craft Yours,138.0
495,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,84.0
496,How to Build a Massive Retirement Plan from Scratch!,49.5
497,Financial modeling: Build a forward looking financial model,89.0
498,Trading for Beginners - Entry Level,77.5
499,Bitcoin or How I Learned to Stop Worrying and Love Crypto,136.0
500,Trend Following Stocks: A Complete Trading System,152.0
501,Forex Basics,50.5
504,FOREX : Learn Technical Analysis,34.0
505,FastTrack to Stock Trading Strategies,118.0
506,Algorithmic futures trading - Investing with no experience,0.0
507,Succeed in Forex Even if You Don't Know Where to Start!,121.0
509,"Binary, Forex, Stock and Bitcoin Trading Strategy",106.33333333333331
510,2 Easy Steps To Investment And Avoiding Traps,107.0
511,Ethereum Course for Investors,0.0
512,Using Xero for your bookkeeping needs  do beautiful business,115.0
513,Capital Market Immersion,98.0
514,Forex Trading :RSI Indicator-A Secret Weapon,136.33333333333334
515,"Trading Mindset, and Three Steps To Profitable Trading",90.0
516,Professional Bookkeeping & Accounting 4:Trial Balance & More,182.0
518,Forex online live trading system (Special Offer),41.0
519,Winning Options Trading System,0.0
520,Learn The ABC's Of Investing And Understanding True Financial Value,0.0
521,How to invest in Russian equity market,171.0
522,Handle difficult questions the bank manager will ask you,130.66666666666666
523,Credit Control Procedures,60.0
524,FMT: Forex Market Trader Certificate,24.0
525,Six Stage Negotiation,0.0
526,Financial Reporting - Fundamentals/Basics,55.0
529,Financial Market Environment & Investment Strategies,103.0
530,How to Obtain a Business Loan,56.5
531,Evolution and Features of ETFs,0.0
532,Cost Accounting Operating Costing(Professional Course Level),0.0
534,"Day trading strategy for all level, with 72% success rate",52.0
536,Advanced Technical Analysis PART1!,130.0
537,Advanced Financial Management for CA / CS / CFA /CPA Exams,133.0
539,Forex Trading Masterclass - Learn To Trade Better,140.0
540,Introduction to Accounting - Analyzing Financial Statements,103.5
541,Credit Risk Analysis,93.0
542,Fund Flow Analysis for CA / CFA / CPA Exams,32.5
543,Python for Trading & Investing,51.0
544,Stocks For Beginners - A Guide To Investing,0.0
549,Introduction To The World Of Equity Finance,0.0
550,Stock Technical Analysis with Excel,0.0
551,Beginners Forex strategy,0.0
553,The Complete Financial Model Builder Course-Build 7 Models,0.0
554,Fundamental Financial Math,105.33333333333331
559,Certificate Program in Financial Accounting,98.0
560,Trading Biotech Stocks - Understanding the Healthcare Sector,102.0
561,Indian Contract Act 1872: Must for all Finance Professionals,0.0
562,Fundraising Success: The Art & Science of Major Gifts,0.0
563,Smart Trading Techniques for Safe & Consistent Weekly Result,0.0
564,Technical Trading and Investing Made Easy,0.0
565,Budgeting for Business,110.0
566,Complete Guide to Business Loans,142.0
567,Hot Trading Investing Strategy: ETF and Futures,118.0
568,Financial Management - A Complete Study,120.0
570,Ultimate Stock Market Investing: Learn How to Value Stocks,104.0
571,Collection of Advanced Options concepts for Options traders,27.5
572,No Bull Investing: Investing 101 For Financial Freedom,141.5
574,Small Business Owners: Drive a Productive Business and Grow,82.0
576,Short Straddles - Exploit Earnings Option Volatility Crush,112.0
579,Financial Analysis:  A Recipe for Success,53.0
580,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",0.0
582,"How to Get Growing, Passive Income from the Fortune 500!",132.0
583,Managing Budgets in the Public and Non Profit Sector,80.5
584,System of Asset Management for Professionals (SAMP),0.0
587,Introduction to the 8 Pillars for Accountants,70.0
588,FX Trading for Beginners,111.5
591,Ratio analysis for bankers and credit analysts,134.33333333333334
592,Numbers for the  Business Plan,148.0
593,Dash Crypto Currency Technical and Trading Overview Bootcamp,0.0
595,4. Ordinary Simple Annuities: The Basics,71.5
596,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,180.0
597,Financial Risk Manager (FRM) Certification: Level II,72.5
598,Level 1 2014 CFA® Program – Corporate Finance,48.0
599,3. Compound Interest ,59.0
601,Finance Fundamentals for Non Finance Leaders,58.0
602,Strategy layout and Backtesting,32.5
604,Finanzas y Análisis Financiero: Manejo Seguro de Negocios,90.25
605,Aprende a hacer paper trading (simulación) con Ninja Trader,120.0
606,Trading mit kleinen Konten - Grundlagen die du kennen musst,61.333333333333336
607,entiende la contabilidad y consigue un aumento de salario,57.5
608,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,79.0
610,Disminuye deudas en tu hogar en menos de 30 días,44.5
611,CPA 10 COMPLETO,55.0
613,Aprenda Cálculo Financeiro de Forma Simples,44.0
614,Wie funktionieren Bitcoin? Ein Einführungskurs.,113.0
615,Estruturação Financeira,107.0
616,Five steps to becoming a winner in stock investing,159.0
618,Introduction to Financial Consolidation under IFRS,10.0
619,How to read a Profit & Loss Account and Balance Sheet,0.0
620,Learn Bookkeeping From Scratch,169.0
622,Introduction to Bitcoin for Beginners,0.0
624,Bookkeeping Systems,106.5
625,Precious Metal Equities,85.5
626,Start Now: A Rescue Plan for Retirement Late Savers,96.0
628,How I Make Money Writing About Stocks Online,54.0
630,Improve Your Financial Literacy,56.5
631,Forex Trading : Power Of Moving Averages,84.0
632,Demystifying Your Personal Tax Return,0.0
633,Samuel and Co Trading - Stock & Forex Trading,31.33333333333333
634,Accounting Department's Tips & Tricks - Beginner to Advanced,69.0
635,Certificate Program In Management Accounting,0.0
636,How I Trade Forex Successfully,103.0
637,Professional Trading With Institutional Supply & Demand,42.333333333333336
638,Master Calendar Spreads with this live trade on Gold (GLD),73.5
639,Accounting 101: Guide to Business Accounting,0.0
640,An Introduction to Financial Markets on Wall Street,58.0
641,Win 90% of Trades; Quantitative Investments Models in Excel,119.0
643,Your Business by the Numbers,0.0
644,Forex - Trade Gartley with Precision - Complete Strategy,87.0
645,Bitcoin & Ethereum Course (2 Course Bundle),49.5
651,Xero Bookkeeping Course & Certification by Accounting Firm,71.0
653,Trading Trends in ANY Market,52.5
654,Financial Statements Analysis: Learn to Invest Like a Pro!,54.5
655,Contango VXX - ETF Options Trading - Double Your Investment,94.0
656,Mergers and Acquisitions M&A Essentials You Need to Know,133.0
659,High Probability Trading Across Any Market: Stocks & Forex,0.0
661,Your First Successful Forex Trades - With Case Studies,142.0
662,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,69.5
663,"High-Frequency Trading #1: Basics, History & Strategies",97.5
665,Level 1 2014 CFA® Program – Derivatives,0.0
666,The Complete Investing Guide: How to Beat Wall Street,128.5
667,"Bitcoins - Past, Present, Future",136.5
668,Learn Accounting by Specific Examples - Part 1,163.0
671,Price Action Gap Trading Strategies,136.0
672,How to start a successful career in finance?,89.0
673,Level 1 2014 CFA® Program – Equity Investments,127.0
674,Wealth Management,0.0
675,Basics of Private Equity,110.0
676,Curso Completo del Mercado FOREX,125.0
678,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,96.0
679,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,129.0
682,Trading Forex - Trader avec les figures harmoniques,100.0
685,資産運用の基礎を学ぶファイナンス入門,0.0
688,Day Trading: High ROI Day Trading ,115.5
689,Flow Management and Forecasting,20.33333333333333
690,An Introduction to Management of Portfolios (MoP),62.25
691,CFA Level I Workshop 1: Ethics and Quantitative Methods,187.0
692,Accounting Basics 101 for Understanding Business,0.0
693,Mortgage Acceleration,111.0
694,Stock Market for Beginners. Learn to trade,0.0
695,CFA Corporate Finance Level 1 (Part 1),69.0
696,Trading Tips from Hedge Fund Manager,129.0
697,Effective Debt Collection Strategies,107.0
698,IAS 1-Presentation of Financial Statements ,0.0
699,Stock Trading Strategies Using a D.A.R.T.,0.0
700,Capital Structuring Techiques for CA / CFA / CPA Exams,0.0
701,The Complete Guide to Forex Trading,0.0
702,Learn How to Trade Binary Options Professionally,102.0
703,Learn How to Start Small and Make It Big In Small-Cap Stocks,0.0
704,Trading strategies with common sense technical analysis,56.5
706,Business Economics - Basics (College Level),76.0
707,Technical Analysis 101: Master the Basics of Trading,60.0
708,Investing in Stocks? Master The Art of Covered Calls Selling,126.0
709,How to Trade Binary Options Effectively – All Levels,60.0
710,Stock Market: The Zero Risk Way of Investing,96.5
712,Corporate Finance 101: Equity Valuation,87.0
716,From 0 to 1: Investments and Portfolio Theory,170.0
717,Bitcoin - The Complete Guide,117.0
718,Professional Trader's Mindset - Complete Forex Course,0.0
719,Bitcoin Peer Investing: How To Generate Double Digit Returns,93.66666666666669
720,Forex Breakout Profits: The Definitive Guide,92.0
721,Learn to Trade With Fibonacci Tools,83.0
722,"Investing Internationally into Real Estate, Stocks and Bonds",19.33333333333333
723,From 0 to 1: Bond Theory and Valuation,71.0
724,Stock Market Mastery,68.0
725,UK Self Assessment Tax Return Filing Online,118.5
728,CFA® Level 1 2014 – Financial Reporting and Analysis,170.0
729,Investment Banking Operations : Securities Trade Life Cycle,106.0
731,Financial Risk Manager (FRM) Certification: Level I,82.0
732,IAS 10 - Events After Reporting Date,0.0
733,Investment Portfolio Analysis with Excel,68.0
734,Introduction to the CFA Program,119.5
736,Excel 4 Accounting & Bookkeeping - Master Lookup Functions,121.0
737,Cashflow Management for Small Businesses: A How To Guide,73.5
738,Forex Basics (Professional Course Level),62.75
739,Advanced Butterfly Spreads for Options Income Strategies,114.0
740,The Holy Grail of Auto Trading Forex Futures Stocks Revealed,0.0
741,IPO Fundamentals,131.0
742,Finance for Non-Finance: Learn Quick and Easy,0.0
743,Advanced Options Trading Course,68.0
744,Statistics - Measures of Dispersion for CA / CS / CFA exams,107.0
745,Work From Home Online (Part/Full) : Trade Forex 4 Beginners,115.0
746,Financial Ratios Using Excel,138.0
747,How To Start Trading Penny Stocks In 10 Easy Steps 2017,74.66666666666667
748,How to Copy the Best Traders on Etoro,104.0
750,Forex trading made simple,102.0
751,Financial and Business Simulation with Microsoft Excel,0.0
752,10.  Bonds and Bond Pricing,102.5
755,The Fundamentals Of Finance For Non-Finance Professionals,92.0
756,Forex - Top Equity Management Strategy,101.0
757,The Truths about (in)secure Retirement,168.0
758,Learn How to File Taxes for Uber and Lyft Drivers,67.5
759,Learn the Basics of the Wave Principle:,43.0
760,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,46.5
762,Introduction to Corporate Finance (Mergers & Acquisitions),32.5
